5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
"5        WARNINGS AND PRECAUTIONS       EXCERPT:    *  Serious allergic reactions, including anaphylactic reactions, may occur.",allergic reactions is an adverse reaction entity
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",flushing is an adverse reaction entity
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.","paraesthesias , flushing is not a named entity"
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",", is not a named entity"
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",adverse is not a named entity
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",hypotension is an adverse reaction entity
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",vomiting is an adverse reaction entity
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",headache is an adverse reaction entity
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.","flushing , is not a named entity"
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",nausea is an adverse reaction entity
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.","vomiting , is not a named entity"
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",paraesthesias is an adverse reaction entity
"The most common adverse reactions (incidence >1%) with VORAXAZE are paraesthesias, flushing, nausea and/or vomiting, hypotension, and headache.",) is not a named entity
(  5.3  )             5.1     Serious Allergic Reactions      Serious allergic reactions occurred in less than 1% of patients [ see Adverse Reactions (  6.1  )  ].,5.1 Serious is not a named entity
(  5.3  )             5.1     Serious Allergic Reactions      Serious allergic reactions occurred in less than 1% of patients [ see Adverse Reactions (  6.1  )  ].,allergic reactions is an adverse reaction entity
Discontinuation from study due to genital infection occurred in 0% of placebo-treated patients and 0.2% of patients treated with either JARDIANCE 10 or 25 mg.,placebo-treated is not a named entity
Discontinuation from study due to genital infection occurred in 0% of placebo-treated patients and 0.2% of patients treated with either JARDIANCE 10 or 25 mg.,genital infection is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.","mg , and is not a named entity"
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",to is not a named entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",patients treated is not a named entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",", hypovolemia , is not a named entity"
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",dehydration is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",systolic is not a named entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",syncope ) is not a named entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",blood pressure systolic decreased is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",blood pressure decreased is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",hypovolemia is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",orthostatic hypotension is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",volume depletion is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",of patients treated is not a named entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",hypotension is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",syncope is an adverse reaction entity
"In the pool of five placebo-controlled clinical trials, adverse reactions related to volume depletion (e.g., blood pressure (ambulatory) decreased, blood pressure systolic decreased, dehydration, hypotension, hypovolemia, orthostatic hypotension, and syncope) were reported by 0.3%, 0.5%, and 0.3% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg respectively.",", is not a named entity"
"Specifically, nocturia was reported by 0.4%, 0.3%, and 0.8% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg, respectively.",nocturia is an adverse reaction entity
"Specifically, nocturia was reported by 0.4%, 0.3%, and 0.8% of patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg, respectively.",Specifically is not a named entity
Impairment in Renal Function  Use of JARDIANCE was associated with increases in serum creatinine and decreases in eGFR (see Table 2).,associated with increases is not a named entity
Impairment in Renal Function  Use of JARDIANCE was associated with increases in serum creatinine and decreases in eGFR (see Table 2).,decreases in eGFR is an adverse reaction entity
Impairment in Renal Function  Use of JARDIANCE was associated with increases in serum creatinine and decreases in eGFR (see Table 2).,Use of is not a named entity
Impairment in Renal Function  Use of JARDIANCE was associated with increases in serum creatinine and decreases in eGFR (see Table 2).,in is not a named entity
Impairment in Renal Function  Use of JARDIANCE was associated with increases in serum creatinine and decreases in eGFR (see Table 2).,Impairment in Renal Function is an adverse reaction entity
Impairment in Renal Function  Use of JARDIANCE was associated with increases in serum creatinine and decreases in eGFR (see Table 2).,increases in serum creatinine is an adverse reaction entity
The risk of impaired renal function with JARDIANCE is increased in elderly patients and patients with moderate renal impairment.,moderate renal is not a named entity
The risk of impaired renal function with JARDIANCE is increased in elderly patients and patients with moderate renal impairment.,impaired renal function is an adverse reaction entity
Genital mycotic infections occurred more frequently in female than male patients (see Table 1).,frequently in female is not a named entity
Genital mycotic infections occurred more frequently in female than male patients (see Table 1).,Genital mycotic infections is an adverse reaction entity
(  5.1  )   *   Impairment in renal function: Monitor renal function during therapy.,Impairment in renal function is an adverse reaction entity
(  5.1  )   *   Impairment in renal function: Monitor renal function during therapy.,renal function is not a named entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",scrotal abscess is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",nocturia is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",limited to is not a named entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",balanoposthitis is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",polyuria is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",", penile is not a named entity"
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.","including , but is not a named entity"
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",genital infections fungal is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",Predefined is not a named entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",to is not a named entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",", and is not a named entity"
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",pollakiuria is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",genitourinary tract infection is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",genital mycotic infections is not a named entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",penile infection is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",balanitis candida is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",balanitis is an adverse reaction entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",infection is not a named entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",Male is not a named entity
"c  Predefined adverse event grouping, including, but not limited to, polyuria, pollakiuria, and nocturia       d  Male genital mycotic infections include the following adverse reactions: balanoposthitis, balanitis, genital infections fungal, genitourinary tract infection, balanitis candida, scrotal abscess, penile infection.",: balanoposthitis is not a named entity
Patients with a history of chronic or recurrent urinary tract infections were more likely to experience a urinary tract infection.,chronic or is not a named entity
Patients with a history of chronic or recurrent urinary tract infections were more likely to experience a urinary tract infection.,urinary tract infection is an adverse reaction entity
5.2 Impairment in Renal Function      JARDIANCE increases serum creatinine and decreases eGFR [see Adverse Reactions (  6.1  )]  .,decreases eGFR is an adverse reaction entity
5.2 Impairment in Renal Function      JARDIANCE increases serum creatinine and decreases eGFR [see Adverse Reactions (  6.1  )]  .,increases serum creatinine is an adverse reaction entity
5.2 Impairment in Renal Function      JARDIANCE increases serum creatinine and decreases eGFR [see Adverse Reactions (  6.1  )]  .,creatinine and is not a named entity
5.2 Impairment in Renal Function      JARDIANCE increases serum creatinine and decreases eGFR [see Adverse Reactions (  6.1  )]  .,Impairment in Renal is not a named entity
"The rate of treatment discontinuation due to urinary tract infections was 0.1%, 0.2%, and 0.1% for placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg, respectively.",% for is not a named entity
"The rate of treatment discontinuation due to urinary tract infections was 0.1%, 0.2%, and 0.1% for placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg, respectively.",urinary tract infections is an adverse reaction entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",asymptomatic bacteriuria is an adverse reaction entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",and is not a named entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",urinary tract infection is an adverse reaction entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",Infections In the is not a named entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",", and is not a named entity"
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",placebo-controlled is not a named entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",urinary tract infections is an adverse reaction entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",cystitis is an adverse reaction entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",Urinary Tract Infections is an adverse reaction entity
"Urinary Tract Infections  In the pool of five placebo-controlled clinical trials, the incidence of urinary tract infections (e.g., urinary tract infection, asymptomatic bacteriuria, and cystitis) was increased in patients treated with JARDIANCE compared to placebo (see Table 1).",e.g. is not a named entity
Patients with a history of chronic or recurrent genital mycotic infections were more likely to develop mycotic genital infections.,of chronic or is not a named entity
Patients with a history of chronic or recurrent genital mycotic infections were more likely to develop mycotic genital infections.,mycotic genital infections is an adverse reaction entity
"The incidence of urinary tract infections in female patients randomized to placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg was 16.6%, 18.4%, and 17.0%, respectively.",urinary tract infections is an adverse reaction entity
"The incidence of urinary tract infections in female patients randomized to placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg was 16.6%, 18.4%, and 17.0%, respectively.",", respectively is not a named entity"
"The incidence of urinary tract infections in male patients randomized to placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg was 3.2%, 3.6%, and 4.1%, respectively  [see Warnings and Precautions (  5.5  ) and Use in Specific Populations (  8.5  )]  .",was 3.2 is not a named entity
"The incidence of urinary tract infections in male patients randomized to placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg was 3.2%, 3.6%, and 4.1%, respectively  [see Warnings and Precautions (  5.5  ) and Use in Specific Populations (  8.5  )]  .",urinary tract infections is an adverse reaction entity
"Symptomatic hypotension may occur after initiating JARDIANCE [see Adverse Reactions (  6.1  )]  particularly in patients with renal impairment, the elderly, in patients with low systolic blood pressure, and in patients on diuretics.",Symptomatic hypotension is an adverse reaction entity
"Symptomatic hypotension may occur after initiating JARDIANCE [see Adverse Reactions (  6.1  )]  particularly in patients with renal impairment, the elderly, in patients with low systolic blood pressure, and in patients on diuretics.",impairment is not a named entity
Table 1 shows common adverse reactions (excluding hypoglycemia) associated with the use of JARDIANCE.,hypoglycemia is an adverse reaction entity
Table 1 shows common adverse reactions (excluding hypoglycemia) associated with the use of JARDIANCE.,with the is not a named entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",see Table 1 is not a named entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",five is not a named entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",see Table is not a named entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",nocturia is an adverse reaction entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",) is not a named entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).","e.g. , is not a named entity"
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",increased urination is an adverse reaction entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",polyuria is an adverse reaction entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",Increased Urination is an adverse reaction entity
"Increased Urination  In the pool of five placebo-controlled clinical trials, adverse reactions of increased urination (e.g., polyuria, pollakiuria, and nocturia) occurred more frequently on JARDIANCE than on placebo (see Table 1).",pollakiuria is an adverse reaction entity
Phimosis occurred more frequently in male patients treated with JARDIANCE 10 mg (less than 0.1%) and JARDIANCE 25 mg (0.1%) than placebo (0%).,0.1 % is not a named entity
Phimosis occurred more frequently in male patients treated with JARDIANCE 10 mg (less than 0.1%) and JARDIANCE 25 mg (0.1%) than placebo (0%).,Phimosis is an adverse reaction entity
"Increase in Hematocrit  In a pool of four placebo-controlled studies, median hematocrit decreased by 1.3% in placebo and increased by 2.8% in JARDIANCE 10 mg and 2.8% in JARDIANCE 25 mg treated patients.",hematocrit increased is an adverse reaction entity
"Increase in Hematocrit  In a pool of four placebo-controlled studies, median hematocrit decreased by 1.3% in placebo and increased by 2.8% in JARDIANCE 10 mg and 2.8% in JARDIANCE 25 mg treated patients.",mg treated patients is not a named entity
"Increase in Hematocrit  In a pool of four placebo-controlled studies, median hematocrit decreased by 1.3% in placebo and increased by 2.8% in JARDIANCE 10 mg and 2.8% in JARDIANCE 25 mg treated patients.",hematocrit decreased is an adverse reaction entity
"Increase in Hematocrit  In a pool of four placebo-controlled studies, median hematocrit decreased by 1.3% in placebo and increased by 2.8% in JARDIANCE 10 mg and 2.8% in JARDIANCE 25 mg treated patients.",a pool of is not a named entity
"Increase in Hematocrit  In a pool of four placebo-controlled studies, median hematocrit decreased by 1.3% in placebo and increased by 2.8% in JARDIANCE 10 mg and 2.8% in JARDIANCE 25 mg treated patients.",Increase in Hematocrit is an adverse reaction entity
"Increase in Hematocrit  In a pool of four placebo-controlled studies, median hematocrit decreased by 1.3% in placebo and increased by 2.8% in JARDIANCE 10 mg and 2.8% in JARDIANCE 25 mg treated patients.",in JARDIANCE 25 is not a named entity
"LDL-C increased by 2.3%, 4.6%, and 6.5% in patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg, respectively  [see Warnings and Precautions (  5.6  )]  .",", and is not a named entity"
"LDL-C increased by 2.3%, 4.6%, and 6.5% in patients treated with placebo, JARDIANCE 10 mg, and JARDIANCE 25 mg, respectively  [see Warnings and Precautions (  5.6  )]  .",LDL-C increased is an adverse reaction entity
5 WARNINGS AND PRECAUTIONS     EXCERPT:    *    Acute pancreatitis: There have been postmarketing reports of acute pancreatitis.,of acute is not a named entity
5 WARNINGS AND PRECAUTIONS     EXCERPT:    *    Acute pancreatitis: There have been postmarketing reports of acute pancreatitis.,acute pancreatitis is an adverse reaction entity
5 WARNINGS AND PRECAUTIONS     EXCERPT:    *    Acute pancreatitis: There have been postmarketing reports of acute pancreatitis.,AND PRECAUTIONS EXCERPT is not a named entity
5 WARNINGS AND PRECAUTIONS     EXCERPT:    *    Acute pancreatitis: There have been postmarketing reports of acute pancreatitis.,Acute pancreatitis is an adverse reaction entity
The use of NESINA as add-on therapy to glyburide or insulin did not increase the incidence of hypoglycemia compared to placebo.,of hypoglycemia compared is not a named entity
The use of NESINA as add-on therapy to glyburide or insulin did not increase the incidence of hypoglycemia compared to placebo.,hypoglycemia is an adverse reaction entity
"In randomized controlled studies, serum alanine aminotransferase (ALT) elevations greater than three times the upper limit of normal (ULN) were observed: 1.3% in alogliptin-treated patients and 1.5% in all comparator-treated patients.",serum alanine aminotransferase elevations is an adverse reaction entity
"In randomized controlled studies, serum alanine aminotransferase (ALT) elevations greater than three times the upper limit of normal (ULN) were observed: 1.3% in alogliptin-treated patients and 1.5% in all comparator-treated patients.",patients and 1.5 is not a named entity
"In randomized controlled studies, serum alanine aminotransferase (ALT) elevations greater than three times the upper limit of normal (ULN) were observed: 1.3% in alogliptin-treated patients and 1.5% in all comparator-treated patients.",alanine is not a named entity
"In randomized controlled studies, serum alanine aminotransferase (ALT) elevations greater than three times the upper limit of normal (ULN) were observed: 1.3% in alogliptin-treated patients and 1.5% in all comparator-treated patients.",ALT elevations is an adverse reaction entity
(5.4)   *    Arthralgia: Severe and disabling arthralgia has been reported in patients taking DPP-4 inhibitors.,arthralgia has is not a named entity
(5.4)   *    Arthralgia: Severe and disabling arthralgia has been reported in patients taking DPP-4 inhibitors.,arthralgia is an adverse reaction entity
(5.4)   *    Arthralgia: Severe and disabling arthralgia has been reported in patients taking DPP-4 inhibitors.,: is not a named entity
(5.4)   *    Arthralgia: Severe and disabling arthralgia has been reported in patients taking DPP-4 inhibitors.,Arthralgia is an adverse reaction entity
"Hypersensitivity Reactions       In a pooled analysis, the overall incidence of hypersensitivity reactions was 0.6% with NESINA 25 mg compared to 0.8% with all comparators.",hypersensitivity reactions is an adverse reaction entity
"Hypersensitivity Reactions       In a pooled analysis, the overall incidence of hypersensitivity reactions was 0.6% with NESINA 25 mg compared to 0.8% with all comparators.",% is not a named entity
"5.3 Hepatic Effects    There have been postmarketing reports of fatal and nonfatal hepatic failure in patients taking NESINA, although some of the reports contain insufficient information necessary to establish the probable cause  [seeAdverse Reactions (6.2)]  .",hepatic failure is an adverse reaction entity
"5.3 Hepatic Effects    There have been postmarketing reports of fatal and nonfatal hepatic failure in patients taking NESINA, although some of the reports contain insufficient information necessary to establish the probable cause  [seeAdverse Reactions (6.2)]  .",5.3 Hepatic Effects is not a named entity
"5.3 Hepatic Effects    There have been postmarketing reports of fatal and nonfatal hepatic failure in patients taking NESINA, although some of the reports contain insufficient information necessary to establish the probable cause  [seeAdverse Reactions (6.2)]  .",hepatic failure is an adverse reaction entity
"5.3 Hepatic Effects    There have been postmarketing reports of fatal and nonfatal hepatic failure in patients taking NESINA, although some of the reports contain insufficient information necessary to establish the probable cause  [seeAdverse Reactions (6.2)]  .",probable cause is not a named entity
